node,degree,closeness,betweenness,clustering,theta_diff,theta2,bc_single,network
3,2,0.4393939393939394,0.0,1.0,0.6308427547495832,-4.053007372132778,6.424750608004754,BA N=30 m=2 (G1)
4,6,0.5,0.08633591367581515,0.13333333333333333,2.185671084588746,-12.280972990388468,5.618856870542919,BA N=30 m=2 (G1)
5,11,0.58,0.254650480882008,0.09090909090909091,3.680949892859232,-20.84955732481734,5.664178522305866,BA N=30 m=2 (G1)
6,4,0.5,0.030958245367112357,0.16666666666666666,1.399489698415735,-8.311914307455455,5.939246510256414,BA N=30 m=2 (G1)
7,2,0.453125,0.0,1.0,0.6425827790010654,-4.068710920602665,6.3318082176552055,BA N=30 m=2 (G1)
8,5,0.4915254237288136,0.06637931034482758,0.2,1.8519580640184508,-10.372534181439446,5.60084722379335,BA N=30 m=2 (G1)
9,4,0.4142857142857143,0.02101806239737274,0.16666666666666666,1.5759883544769409,-8.51102477226182,5.40043633449726,BA N=30 m=2 (G1)
10,6,0.4603174603174603,0.062010321369927277,0.0,2.313679189773943,-12.715563342001369,5.495819557958568,BA N=30 m=2 (G1)
11,6,0.48333333333333334,0.0904175463288764,0.0,2.3334473683012504,-12.514822604013323,5.3632332890902585,BA N=30 m=2 (G1)
12,2,0.3918918918918919,0.0,1.0,0.7652843086169749,-4.353220170592066,5.688369827494862,BA N=30 m=2 (G1)
13,2,0.4027777777777778,0.003395496129486277,0.0,0.7435166541294063,-4.329945988300411,5.823603229668612,BA N=30 m=2 (G1)
14,2,0.3972602739726027,0.0,1.0,0.7228486311961211,-4.298757630298745,5.946967933224762,BA N=30 m=2 (G1)
15,3,0.4084507042253521,0.008169129720853858,0.0,1.141347007205888,-6.397862254924279,5.605536453446157,BA N=30 m=2 (G1)
16,2,0.4084507042253521,0.00419305653295801,0.0,0.7215559381525667,-4.295108916992496,5.952565407457478,BA N=30 m=2 (G1)
17,2,0.38666666666666666,0.00451559934318555,0.0,0.799634241375796,-4.51575743723035,5.647278722658058,BA N=30 m=2 (G1)
18,2,0.42028985507246375,0.007142857142857143,0.0,0.7327869564756346,-4.257492200889226,5.8099999778459335,BA N=30 m=2 (G1)
19,2,0.4393939393939394,0.0,1.0,0.6308427547495832,-4.053007372132779,6.4247506080047545,BA N=30 m=2 (G1)
20,2,0.4027777777777778,0.003395496129486277,0.0,0.7435166541294063,-4.329945988300412,5.823603229668613,BA N=30 m=2 (G1)
21,2,0.4027777777777778,0.0,1.0,0.7097591176793889,-4.279757976198718,6.0298738960785885,BA N=30 m=2 (G1)
22,2,0.43283582089552236,0.0,1.0,0.664372822703938,-4.150124650802331,6.246680341185081,BA N=30 m=2 (G1)
23,3,0.4393939393939394,0.017634295097349286,0.0,1.1649485827766464,-6.531484161958264,5.606671623558286,BA N=30 m=2 (G1)
